year,month,total
2011,1,3095754384.0
2011,2,2782107464.0
2011,3,3065082368.0
2011,4,3164938440.0
2011,5,3342092392.0
2011,6,3325454512.0
2011,7,3467221400.0
2011,8,3552692568.0
2011,9,3455170880.0
2011,10,3330718072.0
2011,11,3259539512.0
2011,12,3473735344.0
2012,1,3134292632.0
2012,2,3012260344.0
2012,3,3361437384.0
2012,4,3242393424.0
2012,5,3583375104.0
2012,6,3527407392.0
2012,7,3676718640.0
2012,8,3617734816.0
2012,9,3625785832.0
2012,10,3626759824.0
2012,11,3539530912.0
2012,12,3840998384.0
2013,1,3396671552.0
2013,2,3163000272.0
2013,3,3571613312.0
2013,4,3654606480.0
2013,5,3773000800.0
2013,6,3790324088.0
2013,7,3968734704.0
2013,8,3911456944.0
2013,9,3746133392.0
2013,10,3903609688.0
2013,11,3685072696.0
2013,12,3992088552.0
2014,1,3753994696.0
2014,2,3396140192.0
2014,3,3805888576.0
2014,4,3851111080.0
2014,5,4187224224.0
2014,6,4169801576.0
2014,7,4345820792.0
2014,8,4319795224.0
2014,9,4099675344.0
2014,10,4197058576.0
2014,11,4063708040.0
2014,12,4383052880.0
2015,1,3968714832.0
2015,2,3745840112.0
2015,3,4001417064.0
2015,4,4248408872.0
2015,5,4444751696.0
2015,6,4391940608.0
2015,7,4631029648.0
2015,8,4530010216.0
2015,9,4615550960.0
2015,10,4646507360.0
2015,11,4197944688.0
2015,12,4748802168.0
2016,1,4260240288.0
2016,2,3995533064.0
2016,3,4202964240.0
2016,4,4351654376.0
2016,5,4627168992.0
2016,6,4509022352.0
2016,7,4691644760.0
2016,8,4834774064.0
2016,9,4576636192.0
2016,10,4518487728.0
2016,11,4248311584.0
2016,12,4734929712.0
2017,1,4206061928.0
2017,2,4008567424.0
2017,3,4410309960.0
2017,4,4681578528.0
2017,5,4779155120.0
2017,6,4670784960.0
2017,7,4916010728.0
2017,8,4904075904.0
2017,9,4935766864.0
2017,10,4886918024.0
2017,11,4578406408.0
2017,12,4983540672.0
2018,1,4560847536.0
2018,2,4090968232.0
2018,3,4702777120.0
2018,4,4784291840.0
2018,5,4909386512.0
2018,6,5056648512.0
2018,7,5302385328.0
2018,8,5324768736.0
2018,9,5061482016.0
2018,10,4957829552.0
2018,11,4992293424.0
2018,12,5216189584.0
2019,1,5027657768.0
2019,2,4720433504.0
2019,3,5198631680.0
2019,4,5329973424.0
2019,5,5402119680.0
2019,6,5401055728.0
2019,7,5825214832.0
2019,8,5862586608.0
2019,9,5560785280.0
2019,10,5442846024.0
2019,11,5541147392.0
2019,12,5716958592.0
2020,1,5434350384.0
2020,2,5381759088.0
2020,3,5465946560.0
2020,4,5403170432.0
2020,5,5735582224.0
2020,6,5445552416.0
2020,7,5665493936.0
2020,8,5696704416.0
2020,9,5450333872.0
2020,10,6761132210.0
2020,11,6551892906.0
2020,12,6948244334.0
2021,1,628298050.0
2021,2,588495066.0
2021,3,647876270.0
2021,4,623337008.0
2021,5,649129816.0
2021,6,617145172.0
2021,7,657044826.0
2021,8,631154862.0
2021,9,575487632.0
2021,10,629578984.0
2021,11,607306298.0
2021,12,640115032.0
2022,1,625757662.0
2022,2,579684082.0
2022,3,652407294.0
2022,4,620734582.0
2022,5,651378724.0
2022,6,587560794.0
2022,7,648303778.0
2022,8,625912248.0
2022,9,591769320.0
2022,10,607363290.0
2022,11,572833365.0
2022,12,617450406.0
2023,1,611322798.0
2023,2,568515110.0
2023,3,642267932.0
2023,4,634537554.0
2023,5,676487530.0
2023,6,659127062.0
2023,7,698978132.0
2023,8,705080840.0
2023,9,697820332.0
2023,10,678066376.0
2023,11,661795116.0
2023,12,720983402.0
